sample : 50.000, Occurrence : 213, Percentage : 21.300%
sample : 60.000, Occurrence : 060, Percentage : 6.000%
sample : 70.000, Occurrence : 014, Percentage : 1.400%
sample : 80.000, Occurrence : 003, Percentage : 0.300%
sample : 90.000, Occurrence : 003, Percentage : 0.300%
sample : 100.000, Occurrence : 004, Percentage : 0.400%
sample : 110.000, Occurrence : 002, Percentage : 0.200%
sample : 180.000, Occurrence : 001, Percentage : 0.100%
sample : 310.000, Occurrence : 124, Percentage : 12.400%
sample : 320.000, Occurrence : 076, Percentage : 7.600%
sample : 330.000, Occurrence : 063, Percentage : 6.300%
sample : 340.000, Occurrence : 062, Percentage : 6.200%
sample : 350.000, Occurrence : 052, Percentage : 5.200%
sample : 360.000, Occurrence : 048, Percentage : 4.800%
sample : 370.000, Occurrence : 034, Percentage : 3.400%
sample : 380.000, Occurrence : 025, Percentage : 2.500%
sample : 390.000, Occurrence : 026, Percentage : 2.600%
sample : 400.000, Occurrence : 024, Percentage : 2.400%
sample : 410.000, Occurrence : 020, Percentage : 2.000%
sample : 420.000, Occurrence : 013, Percentage : 1.300%
sample : 430.000, Occurrence : 025, Percentage : 2.500%
sample : 440.000, Occurrence : 013, Percentage : 1.300%
sample : 450.000, Occurrence : 008, Percentage : 0.800%
sample : 460.000, Occurrence : 009, Percentage : 0.900%
sample : 470.000, Occurrence : 011, Percentage : 1.100%
sample : 480.000, Occurrence : 004, Percentage : 0.400%
sample : 490.000, Occurrence : 004, Percentage : 0.400%
sample : 500.000, Occurrence : 005, Percentage : 0.500%
sample : 510.000, Occurrence : 007, Percentage : 0.700%
sample : 520.000, Occurrence : 003, Percentage : 0.300%
sample : 530.000, Occurrence : 004, Percentage : 0.400%
sample : 540.000, Occurrence : 006, Percentage : 0.600%
sample : 550.000, Occurrence : 004, Percentage : 0.400%
sample : 560.000, Occurrence : 003, Percentage : 0.300%
sample : 570.000, Occurrence : 002, Percentage : 0.200%
sample : 580.000, Occurrence : 003, Percentage : 0.300%
sample : 610.000, Occurrence : 004, Percentage : 0.400%
sample : 620.000, Occurrence : 003, Percentage : 0.300%
sample : 630.000, Occurrence : 001, Percentage : 0.100%
sample : 640.000, Occurrence : 002, Percentage : 0.200%
sample : 660.000, Occurrence : 001, Percentage : 0.100%
sample : 680.000, Occurrence : 002, Percentage : 0.200%
sample : 690.000, Occurrence : 001, Percentage : 0.100%
sample : 700.000, Occurrence : 001, Percentage : 0.100%
sample : 720.000, Occurrence : 001, Percentage : 0.100%
sample : 750.000, Occurrence : 001, Percentage : 0.100%
sample : 790.000, Occurrence : 001, Percentage : 0.100%
sample : 820.000, Occurrence : 001, Percentage : 0.100%
sample : 930.000, Occurrence : 001, Percentage : 0.100%
sample : 1080.000, Occurrence : 001, Percentage : 0.100%
sample : 1370.000, Occurrence : 001, Percentage : 0.100%

