sample : 50.000, Occurrence : 138, Percentage : 13.800%
sample : 60.000, Occurrence : 041, Percentage : 4.100%
sample : 70.000, Occurrence : 009, Percentage : 0.900%
sample : 80.000, Occurrence : 005, Percentage : 0.500%
sample : 90.000, Occurrence : 001, Percentage : 0.100%
sample : 100.000, Occurrence : 003, Percentage : 0.300%
sample : 110.000, Occurrence : 002, Percentage : 0.200%
sample : 180.000, Occurrence : 001, Percentage : 0.100%
sample : 310.000, Occurrence : 130, Percentage : 13.000%
sample : 320.000, Occurrence : 086, Percentage : 8.600%
sample : 330.000, Occurrence : 077, Percentage : 7.700%
sample : 340.000, Occurrence : 076, Percentage : 7.600%
sample : 350.000, Occurrence : 061, Percentage : 6.100%
sample : 360.000, Occurrence : 049, Percentage : 4.900%
sample : 370.000, Occurrence : 038, Percentage : 3.800%
sample : 380.000, Occurrence : 042, Percentage : 4.200%
sample : 390.000, Occurrence : 033, Percentage : 3.300%
sample : 400.000, Occurrence : 016, Percentage : 1.600%
sample : 410.000, Occurrence : 023, Percentage : 2.300%
sample : 420.000, Occurrence : 016, Percentage : 1.600%
sample : 430.000, Occurrence : 014, Percentage : 1.400%
sample : 440.000, Occurrence : 015, Percentage : 1.500%
sample : 450.000, Occurrence : 011, Percentage : 1.100%
sample : 460.000, Occurrence : 014, Percentage : 1.400%
sample : 470.000, Occurrence : 008, Percentage : 0.800%
sample : 480.000, Occurrence : 009, Percentage : 0.900%
sample : 490.000, Occurrence : 009, Percentage : 0.900%
sample : 500.000, Occurrence : 004, Percentage : 0.400%
sample : 510.000, Occurrence : 008, Percentage : 0.800%
sample : 520.000, Occurrence : 005, Percentage : 0.500%
sample : 530.000, Occurrence : 004, Percentage : 0.400%
sample : 540.000, Occurrence : 010, Percentage : 1.000%
sample : 550.000, Occurrence : 002, Percentage : 0.200%
sample : 560.000, Occurrence : 002, Percentage : 0.200%
sample : 570.000, Occurrence : 006, Percentage : 0.600%
sample : 580.000, Occurrence : 002, Percentage : 0.200%
sample : 600.000, Occurrence : 005, Percentage : 0.500%
sample : 610.000, Occurrence : 001, Percentage : 0.100%
sample : 640.000, Occurrence : 003, Percentage : 0.300%
sample : 660.000, Occurrence : 002, Percentage : 0.200%
sample : 670.000, Occurrence : 001, Percentage : 0.100%
sample : 680.000, Occurrence : 001, Percentage : 0.100%
sample : 690.000, Occurrence : 001, Percentage : 0.100%
sample : 760.000, Occurrence : 001, Percentage : 0.100%
sample : 790.000, Occurrence : 001, Percentage : 0.100%
sample : 820.000, Occurrence : 001, Percentage : 0.100%
sample : 870.000, Occurrence : 002, Percentage : 0.200%
sample : 910.000, Occurrence : 001, Percentage : 0.100%
sample : 920.000, Occurrence : 001, Percentage : 0.100%
sample : 930.000, Occurrence : 001, Percentage : 0.100%
sample : 940.000, Occurrence : 001, Percentage : 0.100%
sample : 1010.000, Occurrence : 001, Percentage : 0.100%
sample : 1030.000, Occurrence : 002, Percentage : 0.200%
sample : 1110.000, Occurrence : 001, Percentage : 0.100%
sample : 1130.000, Occurrence : 001, Percentage : 0.100%
sample : 1180.000, Occurrence : 001, Percentage : 0.100%
sample : 1220.000, Occurrence : 001, Percentage : 0.100%
