agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q-Learning,0,0,240.30000000000103,0.36026986506746783,667.0,667.0
Q-Learning,0,1,430.20000000000175,0.28470764617691263,1334.0,667.0
Q-Learning,0,2,654.3000000000027,0.3359820089955036,2001.0,667.0
Q-Learning,0,3,825.3000000000033,0.2563718140929544,2668.0,667.0
Q-Learning,0,4,1047.6000000000042,0.33328335832084094,3335.0,667.0
Q-Learning,0,5,1234.800000000005,0.2806596701649186,4002.0,667.0
Q-Learning,0,6,1414.8000000000056,0.26986506746626787,4669.0,667.0
Q-Learning,0,7,1621.8000000000065,0.3103448275862081,5336.0,667.0
Q-Learning,0,8,1836.9000000000074,0.3224887556221902,6003.0,667.0
Q-Learning,0,9,2029.5000000000082,0.28875562218890666,6670.0,667.0
Q-Learning,0,10,2236.500000000009,0.3103448275862081,7337.0,667.0
Q-Learning,0,11,2471.40000000001,0.3521739130434798,8004.0,667.0
Q-Learning,0,12,2673.000000000011,0.3022488755622201,8671.0,667.0
Q-Learning,0,13,2880.000000000012,0.3103448275862081,9338.0,667.0
Q-Learning,0,14,3089.7000000000126,0.31439280359820215,10005.0,667.0
Q-Learning,0,15,3281.4000000000133,0.2874062968515753,10672.0,667.0
Q-Learning,0,16,3501.000000000014,0.3292353823088469,11339.0,667.0
Q-Learning,0,17,3744.900000000015,0.3656671664167932,12006.0,667.0
Q-Learning,0,18,3942.000000000016,0.29550224887556337,12673.0,667.0
Q-Learning,0,19,4105.800000000017,0.24557721139430366,13340.0,667.0
Q-Learning,0,20,4302.900000000017,0.29550224887556337,14007.0,667.0
Q-Learning,0,21,4516.200000000018,0.3197901049475275,14674.0,667.0
Q-Learning,0,22,4745.700000000019,0.34407796101949173,15341.0,667.0
Q-Learning,0,23,4921.20000000002,0.2631184407796111,16008.0,667.0
Q-Learning,0,24,5139.900000000021,0.32788605697151557,16675.0,667.0
Q-Learning,0,25,5344.200000000022,0.3062968515742141,17342.0,667.0
Q-Learning,0,26,5553.900000000022,0.31439280359820215,18009.0,667.0
Q-Learning,0,27,5749.2000000000235,0.2928035982009007,18676.0,667.0
Q-Learning,0,28,5949.000000000025,0.2995502248875574,19343.0,667.0
Q-Learning,0,29,6156.900000000025,0.31169415292353947,20010.0,667.0
Q-Learning,0,30,6381.000000000026,0.3359820089955036,20677.0,667.0
Q-Learning,0,31,6613.200000000027,0.34812593703148575,21344.0,667.0
Q-Learning,0,32,6801.3000000000275,0.28200899550224995,22011.0,667.0
Q-Learning,0,33,6939.900000000028,0.20779610194902606,22678.0,667.0
Q-Learning,0,34,7147.800000000028,0.31169415292353947,23345.0,667.0
