@relation Accelerometer-weka.filters.unsupervised.attribute.Remove-R1

@attribute accX numeric
@attribute accY numeric
@attribute accZ numeric
@attribute accTotal numeric
@attribute label {lying,running,sitting,standing,walking}

@data
-2.51,10.219,-2.942,10.926272,lying
-2.628,10.199,-3.099,10.978606,lying
-2.412,10.16,-3.079,10.886854,lying
-2.412,10.16,-3.079,10.886854,lying
-2.04,10.12,-2.805,10.697851,lying
-1.961,10.062,-2.432,10.535843,lying
-1.942,10.042,-2.236,10.469614,lying
-2.138,10.062,-1.902,10.460999,lying
-2.216,10.042,-1.53,10.396794,lying
-2.216,10.042,-1.53,10.396794,lying
-2.236,9.964,-1.196,10.281605,lying
-2.099,9.846,-1,10.116794,lying
-1.883,9.65,-0.961,9.878852,lying
-1.628,9.512,-0.706,9.676103,lying
-1.353,9.356,-0.53,9.46817,lying
-1.353,9.356,-0.53,9.46817,lying
-1.059,9.297,-0.333,9.363043,lying
-1.059,9.199,-0.02,9.259778,lying
-1.118,9.042,0.196,9.112964,lying
-1.079,8.924,0.51,9.00345,lying
-0.941,9.022,0.706,9.098374,lying
-0.824,9.061,1.196,9.176661,lying
-0.824,9.061,1.196,9.176661,lying
-0.569,9.061,1.726,9.241459,lying
-0.431,9.081,2.059,9.32147,lying
-0.314,9.042,2.236,9.31966,lying
-0.628,8.983,2.334,9.302485,lying
-0.785,8.963,2.452,9.325444,lying
-0.785,8.963,2.452,9.325444,lying
-0.608,9.061,2.609,9.448718,lying
-0.549,9.159,2.53,9.517856,lying
-0.51,9.101,2.471,9.444265,lying
-0.314,9.356,2.609,9.718035,lying
-0.373,9.395,3.138,9.912225,lying
-0.373,9.395,3.138,9.912225,lying
-0.588,9.297,3.707,10.026056,lying
-0.549,9.336,4.021,10.179918,lying
-0.628,9.297,4.06,10.164261,lying
-0.628,9.199,4.06,10.0747,lying
-0.235,9.297,4.236,10.219253,lying
-0.235,9.297,4.236,10.219253,lying
-0.118,9.218,4.295,10.170176,lying
-0.196,9.14,4.276,10.09268,lying
-0.353,9.14,4.217,10.072105,lying
-0.726,9.257,4.158,10.173893,lying
-0.902,9.473,3.864,10.270435,lying
-0.647,9.552,3.472,10.184012,lying
-0.647,9.552,3.472,10.184012,lying
-0.392,9.454,3.119,9.962928,lying
-0.294,9.434,2.903,9.874928,lying
-0.392,9.473,2.609,9.833528,lying
-0.431,9.473,2.707,9.861609,lying
-0.431,9.473,2.707,9.861609,lying
-0.745,9.63,3.119,10.149881,lying
-0.922,9.787,3.55,10.451696,lying
-1.02,9.767,3.668,10.482791,lying
-0.922,9.767,3.609,10.453193,lying
-0.843,9.611,3.668,10.321637,lying
-0.549,9.748,3.962,10.536714,lying
-0.549,9.748,3.962,10.536714,lying
-0.431,9.767,4.158,10.623983,lying
-0.53,9.63,4.295,10.55769,lying
-0.392,9.591,4.217,10.484466,lying
-0.177,9.63,4.158,10.490815,lying
-0.059,9.767,4.217,10.638649,lying
-0.059,9.767,4.217,10.638649,lying
0.078,9.767,4.374,10.701974,lying
0.118,9.669,4.354,10.604754,lying
0.157,9.473,4.256,10.386333,lying
-0.02,9.316,4.158,10.201824,lying
0.02,9.297,4.315,10.249577,lying
0.02,9.297,4.315,10.249577,lying
0.098,9.159,4.138,10.050867,lying
0.02,8.689,4.158,9.632657,lying
0.137,8.394,3.766,9.201128,lying
0.49,8.257,3.256,8.889302,lying
0.922,8.12,3.119,8.747151,lying
0.922,8.12,3.119,8.747151,lying
1.059,8.14,3.138,8.787953,lying
1.118,8.375,3.001,8.966412,lying
1.236,9.042,3.373,9.72947,lying
1.177,9.512,4.001,10.386119,lying
1.04,9.591,3.864,10.392275,lying
1.04,9.591,3.864,10.392275,lying
0.824,9.414,3.275,10.0014,lying
0.177,9.101,2.569,9.458292,lying
0.471,8.806,2.118,9.069366,lying
0.647,8.904,2.393,9.242633,lying
0.549,9.257,3.06,9.765093,lying
0.549,9.257,3.06,9.765093,lying
0.706,9.277,3.55,9.958095,lying
0.569,9.179,3.785,9.94505,lying
0.137,8.767,4.138,9.695468,lying
