Chest	Chest	Chest	Chest	Right Hip	Right Hip	Right Hip	Right Hip	Right Wrist	Right Wrist	Right Wrist	Right Wrist	Right Thigh	Right Thigh	Right Thigh	Right Thigh	Right foot	Right foot	Right foot	Right foot	Lower Back	Lower Back	Lower Back	Lower Back	Annotation	Annotation
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Pulse	Level
mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	Boolean	Boolean
1218926.758	-0.869	9.414	1.079	1219192.383	-1.154	9.571	1.089	1220154.297	6.960	9.435	0.098	1218886.719	4.498	7.231	3.665	1220077.148	4.027	3.635	-1.591	1219492.187	-0.987	9.195	4.893	0.000	0.000
1218946.289	-0.550	9.418	1.036	1219211.914	-0.962	9.612	0.865	1220173.828	5.784	9.475	1.086	1218906.250	2.721	7.979	2.825	1220096.680	2.417	4.313	-0.342	1219511.719	-0.598	8.784	4.872	0.000	0.000
1218965.820	-0.992	9.567	0.848	1219231.445	-1.000	9.283	0.646	1220193.359	2.301	9.227	0.408	1218925.781	2.760	9.314	-0.903	1220116.211	-2.635	24.842	3.901	1219531.250	-0.444	8.893	4.767	0.000	0.000
1218985.352	-0.911	9.606	0.889	1219250.977	-1.077	9.625	0.248	1220212.891	1.342	8.043	-1.579	1218945.312	7.603	10.896	-5.115	1220135.742	5.948	-6.838	-8.431	1219550.781	-0.597	8.969	4.539	0.000	0.000
1219004.883	-1.076	9.912	0.386	1219270.508	-0.500	9.908	0.898	1220232.422	3.695	8.905	-1.604	1218964.844	5.597	13.888	-1.821	1220155.273	2.988	19.791	1.965	1219570.312	-0.482	9.005	4.582	0.000	0.000
1219024.414	-1.192	10.027	0.753	1219290.039	-0.346	9.719	1.078	1220251.953	3.086	6.875	-3.542	1218984.375	-0.573	11.357	-3.434	1220174.805	8.754	7.733	4.607	1219589.844	-0.484	9.190	4.634	0.000	0.000
1219043.945	-1.351	10.102	0.919	1219309.570	-0.385	9.577	0.759	1220271.484	5.889	8.503	-5.215	1219003.906	-0.449	8.443	-2.570	1220194.336	1.322	8.009	-0.917	1219609.375	-0.330	9.151	4.596	0.000	0.000
1219063.477	-1.549	10.292	1.050	1219329.102	0.077	9.612	0.886	1220291.016	5.000	8.776	-4.678	1219023.437	-0.694	9.295	-0.173	1220213.867	3.450	9.213	1.672	1219628.906	-0.253	9.262	4.451	0.000	0.000
1219083.008	-1.432	10.332	0.771	1219348.633	-0.385	9.693	0.537	1220310.547	-1.442	7.594	-10.478	1219042.969	1.163	9.096	0.892	1220233.398	3.530	9.443	2.993	1219648.437	-0.444	9.338	4.337	0.000	0.000
1219102.539	-0.593	10.379	0.725	1219368.164	-0.308	9.920	0.287	1220330.078	5.153	6.632	-4.754	1219062.500	1.898	8.202	1.300	1220252.930	3.260	8.983	1.814	1219667.969	-0.409	9.671	4.323	0.000	0.000
1219122.070	-0.872	10.107	0.754	1219387.695	-0.615	10.370	0.010	1220349.609	2.211	6.227	-3.493	1219082.031	2.235	7.825	0.393	1220272.461	4.608	9.743	2.923	1219687.500	-0.018	9.111	4.253	0.000	0.000
1219141.602	-0.714	9.801	0.617	1219407.227	-0.654	10.043	-0.287	1220369.141	1.436	3.667	-4.618	1219101.562	2.853	9.489	0.685	1220291.992	2.558	9.263	1.415	1219707.031	-0.017	9.148	4.102	0.000	0.000
1219161.133	-0.592	9.456	0.759	1219426.758	-1.577	10.197	-0.600	1220388.672	2.849	3.799	-3.791	1219121.094	4.282	10.263	1.308	1220311.523	3.304	8.926	0.733	1219726.562	-0.014	8.926	4.009	0.000	0.000
1219180.664	-0.874	9.491	0.603	1219446.289	-2.308	10.204	-0.961	1220408.203	2.224	3.746	-3.475	1219140.625	4.059	10.387	2.046	1220331.055	3.773	9.450	2.106	1219746.094	0.295	8.812	4.007	0.000	0.000
1219200.195	-0.833	9.415	0.679	1219465.820	-2.654	9.720	-0.814	1220427.734	3.833	3.906	-1.457	1219160.156	3.901	9.878	1.670	1220350.586	3.228	8.773	0.840	1219765.625	0.222	8.553	3.872	0.000	0.000
1219219.727	-1.274	9.064	0.586	1219485.352	-2.808	10.054	-0.829	1220447.266	6.942	4.913	0.359	1219179.687	2.210	10.079	1.797	1220370.117	3.502	9.604	2.003	1219785.156	0.802	8.844	3.250	0.000	0.000
1219239.258	-1.078	8.989	0.220	1219504.883	-3.231	8.574	-0.917	1220466.797	12.849	9.114	3.150	1219199.219	0.823	9.924	1.557	1220389.648	3.338	9.207	1.788	1219804.687	0.690	8.512	3.302	0.000	0.000
1219258.789	-0.956	9.798	0.419	1219524.414	-2.154	7.685	-0.928	1220486.328	7.691	12.581	-2.004	1219218.750	1.482	9.546	2.034	1220409.180	3.164	9.129	1.131	1219824.219	0.270	8.405	3.017	0.000	0.000
1219278.320	-0.872	11.722	0.795	1219543.945	-2.038	8.166	-0.887	1220505.859	2.358	11.061	-5.081	1219238.281	1.597	9.105	1.969	1220428.711	3.087	9.354	1.069	1219843.750	0.804	8.733	3.127	0.000	0.000
1219297.852	-0.942	12.221	1.820	1219563.477	-1.846	7.102	-1.392	1220525.391	2.322	11.349	-4.329	1219257.812	1.751	9.178	2.051	1220448.242	2.893	9.093	1.094	1219863.281	-0.101	9.520	4.472	0.000	0.000
1219317.383	-1.707	10.444	1.339	1219583.008	-2.308	7.577	-1.094	1220544.922	2.868	9.699	-1.186	1219277.344	1.332	9.312	2.405	1220467.773	3.345	9.345	1.989	1219882.812	-1.833	11.241	6.712	0.000	0.000
1219336.914	-0.870	9.068	1.022	1219602.539	-2.808	7.998	0.122	1220564.453	2.013	8.705	0.146	1219296.875	2.030	9.596	3.037	1220487.305	3.285	9.156	1.324	1219902.344	-3.636	10.629	6.787	0.000	0.000
1219356.445	0.252	8.387	1.217	1219622.070	-1.577	10.588	0.239	1220583.984	2.151	9.807	1.413	1219316.406	1.646	9.183	3.089	1220506.836	3.030	9.057	1.821	1219921.875	-1.906	8.464	5.208	0.000	0.000
