@RELATION Accelerometer

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE accX NUMERIC
@ATTRIBUTE accY NUMERIC
@ATTRIBUTE accZ NUMERIC
@ATTRIBUTE accTotal NUMERIC
@ATTRIBUTE label {lying,running,sitting,standing,walking}

@DATA

170484958,-0.157,9.826,2.628,10.172576320677079,sitting
170484966,-0.157,9.826,2.628,10.172576320677079,sitting
170484975,-0.078,9.630,2.667,9.992791051553116,sitting
170484983,-0.039,9.454,2.824,9.866844125656389,sitting
170484992,0.020,9.336,3.138,9.849281192046453,sitting
170485000,-0.039,9.336,3.491,9.967421833152242,sitting
170485008,-0.039,9.297,3.766,10.030876631680803,sitting
170485017,-0.039,9.297,3.766,10.030876631680803,sitting
170485025,-0.059,9.336,3.962,10.142081689672985,sitting
170485034,-0.118,9.414,4.119,10.276355433712869,sitting
170485042,-0.216,9.611,4.158,10.474108124322568,sitting
170485050,-0.039,9.199,3.727,9.92540432425803,sitting
170485059,0.294,8.591,3.413,9.248799165297081,sitting
170485067,0.294,8.591,3.413,9.248799165297081,sitting
170485076,0.216,8.375,3.315,9.009800552731454,sitting
170485084,0.216,8.728,3.295,9.331755729764897,sitting
170485092,0.216,9.159,3.275,9.729314569896484,sitting
170485101,0.098,9.454,3.393,10.044907615304384,sitting
170485109,0.059,9.807,3.648,10.463681665647135,sitting
170485119,-0.078,10.238,3.883,10.949904885431653,sitting
170485126,-0.078,10.238,3.883,10.949904885431653,sitting
170485134,-0.235,10.336,3.962,11.071836568519245,sitting
170485143,-0.059,9.414,3.589,10.075107840613915,sitting
170485151,0.333,8.316,3.373,8.980193427760897,sitting
170485160,0.510,8.081,3.491,8.817581414424252,sitting
170485168,0.608,8.669,3.668,9.432679841911312,sitting
170485176,0.608,8.669,3.668,9.432679841911312,sitting
170485185,0.530,9.356,3.982,10.18194284014598,sitting
170485193,0.333,9.591,4.217,10.482426198166147,sitting
170485202,0.157,9.650,4.295,10.56381436792601,sitting
170485210,0.137,9.669,4.354,10.604982131055197,sitting
170485218,0.078,9.728,4.413,10.682445272501985,sitting
170485227,0.078,9.728,4.413,10.682445272501985,sitting
170485235,0.118,9.669,4.295,10.580666803184004,sitting
170485243,0.294,9.375,4.236,10.291781041199817,sitting
170485252,0.451,9.120,4.197,10.049507948153481,sitting
170485260,0.549,8.963,4.217,9.920678353822382,sitting
170485269,0.745,8.748,4.295,9.773922140062298,sitting
170485277,0.745,8.748,4.295,9.773922140062298,sitting
170485285,0.824,8.610,4.276,9.648588083237879,sitting
170485294,0.902,8.336,4.315,9.429831652792112,sitting
170485302,0.981,8.179,4.315,9.299334761153618,sitting
170485311,1.079,8.002,4.393,9.192099542541955,sitting
170485319,1.118,8.002,4.570,9.282608900519294,sitting
170485327,1.118,8.002,4.570,9.282608900519294,sitting
170485336,1.236,8.198,4.609,9.485661864097835,sitting
170485344,1.294,8.355,4.609,9.629296028267072,sitting
170485353,1.294,8.257,4.648,9.563283379676669,sitting
170485361,1.373,8.277,4.746,9.639417721003692,sitting
170485369,1.549,8.120,4.982,9.651638461940024,sitting
170485378,1.549,8.120,4.982,9.651638461940024,sitting
170485386,1.569,8.002,5.217,9.680436663704794,sitting
170485395,1.549,7.904,5.394,9.693701718126054,sitting
170485403,1.471,7.924,5.472,9.741478378562466,sitting
170485411,1.648,7.983,5.492,9.82884820312126,sitting
170485420,1.706,8.179,5.492,9.998426926271954,sitting
170485428,1.608,8.434,5.492,10.19215796580881,sitting
170485437,1.608,8.434,5.492,10.19215796580881,sitting
170485445,1.608,8.453,5.296,10.103785874611555,sitting
170485453,1.667,8.453,5.590,10.270355300572614,sitting
170485462,1.549,8.375,5.904,10.363264061095808,sitting
170485470,1.648,8.453,5.825,10.397102384799332,sitting
170485479,1.726,8.630,5.747,10.511136237343706,sitting
170485487,1.726,8.630,5.747,10.511136237343706,sitting
170485495,1.785,8.904,5.688,10.71544609430704,sitting
170485504,1.648,9.061,5.649,10.804111532189957,sitting
170485512,1.628,9.140,5.668,10.877325406551007,sitting
170485521,1.589,9.061,5.864,10.909314277258677,sitting
170485529,1.706,8.904,5.649,10.681893699152788,sitting
170485537,1.706,8.904,5.649,10.681893699152788,sitting
170485546,1.569,8.787,5.276,10.368669442122263,sitting
170485554,1.451,8.591,5.080,10.085488684243316,sitting
170485562,1.393,8.434,5.001,9.903676388089425,sitting
170485571,1.432,8.473,4.766,9.82634769382806,sitting
170485579,1.549,8.571,4.531,9.817912354467216,sitting
170485587,1.549,8.571,4.531,9.817912354467216,sitting
170485596,1.451,8.669,4.276,9.774514719411906,sitting
170485604,1.334,8.630,4.433,9.793260182390744,sitting
170485613,1.216,8.512,4.884,9.888693341387427,sitting
170485621,1.275,8.179,5.492,9.933968491997547,sitting
170485629,1.491,7.786,5.884,9.87250388705925,sitting
170485638,1.491,7.786,5.884,9.87250388705925,sitting
170485646,1.667,7.551,6.217,9.922075337347524,sitting
170485655,1.922,7.512,6.414,10.062982857980034,sitting
170485663,2.157,7.688,6.512,10.303598254978695,sitting
170485671,2.197,7.983,6.335,10.425321242052927,sitting
170485680,1.981,8.140,6.159,10.397944123719842,sitting
170485688,1.981,8.140,6.159,10.397944123719842,sitting
170485697,1.726,7.983,6.119,10.20536750930607,sitting
170485705,1.628,7.786,6.414,10.2181982756257,sitting
170485714,1.726,7.512,6.747,10.243594535122911,sitting
170485722,1.981,7.237,7.041,10.289519473716934,sitting
170485731,2.314,7.002,7.159,10.2778344508948,sitting
170485739,2.393,6.865,7.218,10.244715613427246,sitting
170485747,2.393,6.865,7.218,10.244715613427246,sitting
170485755,2.236,7.022,6.708,9.96521168866974,sitting
170485764,1.981,7.257,6.217,9.759072650615938,sitting
170485772,1.824,7.492,5.923,9.7231151901024,sitting
170485781,1.824,7.669,5.806,9.790310158518983,sitting
170485789,1.844,7.767,6.002,9.987523667055813,sitting
170485797,1.844,7.767,6.002,9.987523667055813,sitting
170485806,1.981,7.963,6.080,10.212743509948734,sitting
170485814,1.942,7.885,6.139,10.179975933173909,sitting
170485822,2.001,7.786,6.119,10.102868800494242,sitting
170485831,1.922,7.708,6.061,9.992150369164788,sitting
170485839,1.844,7.708,5.943,9.906202551936842,sitting
170485848,1.844,7.708,5.943,9.906202551936842,sitting
170485856,1.883,7.845,6.002,10.055531711451165,sitting
