@RELATION Accelerometer

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE accX NUMERIC
@ATTRIBUTE accY NUMERIC
@ATTRIBUTE accZ NUMERIC
@ATTRIBUTE accTotal NUMERIC
@ATTRIBUTE label {lying,running,sitting,standing,walking}

@DATA

169947356,-4.668,6.708,6.178,10.244763150019624,standing
169947362,-4.786,6.688,6.217,10.309521278895543,standing
169947370,-4.786,6.688,6.217,10.309521278895543,standing
169947379,-4.727,6.747,6.315,10.380065654898335,standing
169947387,-4.531,6.610,6.492,10.313492376494006,standing
169947395,-4.256,6.021,6.590,9.8890887851207,standing
169947404,-4.021,5.276,6.531,9.30905892128737,standing
169947412,-3.746,5.001,6.649,9.124237940781686,standing
169947421,-3.746,5.001,6.649,9.124237940781686,standing
169947429,-3.511,5.256,7.041,9.461941555515972,standing
169947438,-3.570,5.472,7.963,10.300342372950523,standing
169947446,-3.197,5.884,8.689,10.970003919780522,standing
169947455,-2.785,6.002,9.081,11.235870682773097,standing
169947463,-2.491,5.923,9.454,11.430884742660998,standing
169947471,-2.099,5.668,9.454,11.220968808440741,standing
169947480,-2.099,5.668,9.454,11.220968808440741,standing
169947489,-1.746,5.296,9.022,10.606253626988183,standing
169947496,-1.648,4.962,8.512,9.989569159878718,standing
169947505,-1.569,4.786,7.983,9.439059592989123,standing
169947513,-1.569,4.688,7.512,8.992733121804516,standing
169947522,-1.648,4.609,7.178,8.688064744233897,standing
169947530,-1.648,4.609,7.178,8.688064744233897,standing
169947538,-1.510,4.550,7.159,8.615908599793755,standing
169947547,-1.569,4.590,7.728,9.124244900264351,standing
169947555,-1.491,4.570,8.571,9.82700473186006,standing
169947564,-1.334,4.433,9.414,10.49068353349771,standing
169947572,-1.236,4.393,9.983,10.976631268289921,standing
169947580,-1.236,4.393,9.983,10.976631268289921,standing
169947589,-1.196,4.374,10.356,11.305265498872638,standing
169947597,-1.138,4.393,10.513,11.45061841124749,standing
169947605,-0.922,4.433,10.630,11.554153928349752,standing
169947614,-0.667,4.335,10.630,11.499304935516754,standing
169947622,-0.588,4.217,10.473,11.30542179664253,standing
169947631,-0.588,4.217,10.473,11.30542179664253,standing
169947639,-0.451,4.236,10.062,10.926616173363096,standing
169947647,-0.392,4.354,9.767,10.70071348088528,standing
169947656,-0.490,4.354,9.552,10.50895427718667,standing
169947664,-0.373,4.276,9.179,10.13298307508702,standing
169947672,-0.275,4.080,8.983,9.869970314038438,standing
169947683,-0.137,3.982,8.748,9.612626956248745,standing
